school,total_pop,male_under_5,female_under_5,male_5_9,female_5_9,race_total,white_nh,black_nh,asian_nh,hispanic,aian_nh,nhpi_nh,other_nh,two_plus_nh,poverty_universe,below_185_pov,tenure_total,tenure_owner,tenure_renter,vehicles_total_hh,vehicles_zero,income_total,hh_below_50k,families_with_kids,single_parent_with_kids,income_lt_10k,income_10k_15k,income_15k_20k,income_20k_25k,income_25k_30k,income_30k_35k,income_35k_40k,income_40k_45k,income_45k_50k,income_50k_60k,income_60k_75k,income_75k_100k,income_100k_125k,income_125k_150k,income_150k_200k,income_200k_plus,median_hh_income,pct_minority,pct_black,pct_hispanic,pct_below_185_poverty,pct_renter,pct_zero_vehicle,pct_low_income,pct_single_parent,pct_elementary_age,pct_young_children
Carrboro Elementary,12016,204.98382281633087,95.97211036564968,154.96632503059945,198.43323468339327,12015.962312043483,8938.217945615505,1241.3805705529696,977.9022165899725,552.1373045596531,45.81530372796675,0.0,15.531081945421214,244.97788905199687,8677.323845072391,3087.7622257216317,3975.9285347626897,1387.7003420668102,2588.228192695879,3975.9285347626897,256.7911692422159,3975.9285347626897,1560.3072991888127,550.945300963579,149.3294188583561,458.78223451911026,120.55820386810485,157.3389571090981,177.23747004765232,139.71657824748723,90.12887600881547,162.0354513033547,171.13002207601406,83.37950600917597,291.37638547755995,396.23643179440677,359.99781682207504,409.6873050297852,146.61626665013733,264.30374171951513,547.4032880803968,67071,25.6,10.3,4.6,35.6,65.1,6.5,39.2,27.1,2.9,2.5
Ephesus Elementary,7617,232.13348728970675,219.2822937653147,161.93675049080468,140.2551338233252,7617.4763281687965,3888.717514206287,737.8367561800401,973.1374384078619,1355.435215892767,2.985157468335525,0.0,100.99136270078077,558.3728833127249,7541.306581676306,1343.2799372698726,2939.255309798783,1803.7265204269916,1135.5287893717912,2939.255309798783,114.35249774657701,2939.255309798783,836.5709051310292,986.5708120705361,282.75116500049415,185.37016296364214,80.94745359039786,30.32909101172069,114.96623656064861,65.53100259666513,82.15023041087068,57.192349016888905,119.27129317050884,100.8130858096863,124.21685165819845,243.92212522995317,297.6535093426634,297.7000832659857,246.14399898466291,288.3502790809876,604.6975571053024,115973,49.0,9.7,17.8,17.8,38.6,3.9,28.5,28.7,4.0,5.9
Estes Hills Elementary,8248,130.06443490010554,105.5837368072602,187.8218332018114,161.6336217331799,8247.75884313606,5621.105511447017,335.09930852492744,1340.652558006479,548.0855452008254,22.501372025410845,0.059182449711073164,70.61249735876594,309.6428681229227,8189.402505842541,1518.597472117994,3590.4972541852403,2064.019164968039,1526.478089217201,3590.4972541852403,217.7099650491636,3590.4972541852403,834.9820514182705,977.1007603972603,196.50483506353524,278.9604832397672,30.199966240244006,137.4036880592758,23.555954157129417,103.04258476810699,98.89641106416241,75.46969381096162,66.21304218991085,21.24022788871218,153.29187885424474,335.10234940773466,271.4685637935083,244.65806189828845,153.5215232115757,382.7358809384971,1214.7369446631208,138600,31.8,4.1,6.6,18.5,42.5,6.1,23.3,20.1,4.2,2.9
Glenwood Elementary,2175,12.447567554969424,46.660467386541974,19.7311734328843,21.708463712709133,2174.523181689036,1599.2747606534388,208.56114160832715,226.73853056902828,104.33962202876472,1.2686547203312617,0.0,9.162506313503556,25.177965795642343,1262.2859134845314,160.28131067132472,563.0381011606071,366.96583465573144,196.0722665048757,563.0381011606071,10.765196630200357,563.0381011606071,102.96440293149604,140.69618317337554,9.524095575803742,27.759737537772153,6.02360101155492,8.304848282576435,3.522860661931648,25.52043000860215,6.033267097343683,2.3382387327594922,15.701914660521489,7.759504938434076,14.569880298560644,89.64804785267667,48.023138242693065,79.20837455135485,19.438793197695762,47.24712915473012,161.9383349314,72162,26.5,9.6,4.8,12.7,34.8,1.9,18.3,6.8,1.9,2.7
McDougle Elementary,9648,270.22486803308874,324.2582329030587,248.16690195464804,464.32673701713645,9648.25715848754,7071.704942072962,605.7605659077356,543.8851171487847,1055.0328825228537,79.54394677977525,0.0,2.8417776553479066,289.48792640008344,9630.487279368972,1918.8634596825545,3944.759101246405,2667.593459412992,1277.1656418334123,3944.759101246405,152.84859514682933,3944.759101246405,1226.50664161869,1180.5397114484483,170.61779163532697,168.3576613749674,145.3426006222765,134.50495804866128,144.02605191264334,180.78312398001975,24.19644594032394,204.45281220235398,79.61685590551595,145.22613163192773,353.7644957487381,301.1097750164318,359.0146884815291,328.6662817413589,192.04436580427458,272.2506114508476,911.402241384535,101125,26.7,6.3,10.9,19.9,32.4,3.9,31.1,14.5,7.4,6.2
Morris Grove Elementary,9666,142.76582436759958,107.73013692394062,295.52748206955107,281.62040100024666,9666.123438673318,5651.726591994237,1351.1534163429899,1188.319916934907,817.7611693825174,53.40317732880073,0.3841955203510844,63.490621781916346,539.8843493875962,9663.81422816251,1211.503852071533,3644.4811651800055,2989.424766075081,655.0563991049236,3644.4811651800055,77.94899067187602,3644.4811651800055,656.819997274504,1138.7732250166002,197.6507526327517,102.52794583776046,203.7404407763783,53.03535651475735,159.94430106206198,35.97685137859446,52.025391284973686,26.70311431063216,13.645903620919611,9.220692488426025,191.12336331319443,466.0336033627233,528.0419853238836,308.92063532120596,135.54718708784029,452.3856841658226,905.6087093308308,139112,41.5,14.0,8.5,12.5,18.0,2.1,18.0,17.4,6.0,2.6
Northside Elementary,16794,206.10311070743677,131.87313745567945,333.3446728710885,382.5926918630803,16793.926071875896,11420.111760715183,2400.5225989875516,1534.6895756325757,769.9076203617172,82.62690794538055,0.46220327264364425,11.27335293821686,574.3320520226254,15954.197657008823,5526.458799163002,6429.418111955382,2949.651359912344,3479.766752043038,6429.418111955382,519.1551306477684,6429.418111955382,2643.7096921831344,1291.7218311125498,234.7873826261375,738.3994880798609,218.63816617672202,352.41849285555486,163.22864480771295,208.90473256396817,194.4597422797969,290.1951046344152,195.02716005010564,282.4381607349977,513.0541104517747,387.34645368821737,675.3721214574775,383.20772453263476,214.1391733380987,450.60921052100116,1161.979625783044,95503,32.0,14.3,4.6,34.6,54.1,8.1,41.1,18.2,4.3,2.0
Rashkis Elementary,8481,308.01302406790865,115.55051701906939,191.15666037256457,180.77474875688472,8480.718780909414,5000.852648596705,1373.1865513331556,1170.4831987346136,454.7728080705498,3.0715781193118893e-09,0.0,0.0005895077156294536,481.4229846636035,8394.623798602077,1981.064806824852,3772.10486442729,1568.1978594435184,2203.907004983772,3772.10486442729,172.19630832396095,3772.10486442729,1316.4380761557265,944.6905559922654,190.7369440286217,361.6128275609987,27.214401975434477,168.42211479244847,60.255766886984205,129.3955138960241,92.1193409260943,124.01539958768943,93.07575825360708,260.3269522764459,247.39328577275862,164.51844412688385,394.65249442745113,379.29562356327716,236.55786072061468,386.864639453493,646.3844402070848,102369,41.0,16.2,5.4,23.6,58.4,4.6,34.9,20.2,4.4,5.0
Scroggs Elementary,12219,98.38042409119902,344.04694156451126,212.32818453963367,205.60546969023014,12219.326460285483,7782.5977067984495,1447.854572311438,1751.3068137643254,787.6820370209077,60.731272736931444,0.0,84.66783186085013,304.48622579258154,6767.197325604875,1757.731288742294,2811.4782029013604,1368.9976137184503,1442.48058918291,2811.4782029013604,264.27184104209846,2811.4782029013604,837.0164844979093,746.8058786402014,120.04972523342218,84.9582890110785,146.38196202517267,56.74720472125584,53.94641249570764,80.93064412119415,160.21233828715495,59.948215896409906,141.35921454537626,52.532203394559325,225.09038585675827,324.74971380237776,341.8668630646599,136.01790838976314,148.77690415810497,214.1889839153667,583.7709592164206,71994,36.3,11.8,6.4,26.0,51.3,9.4,29.8,16.1,3.4,3.6
Seawell Elementary,4379,70.86829778166391,131.9872995545275,149.9481203773833,102.95558289286836,4379.023362871543,2609.5536045962867,504.17559229142324,677.8696124830849,346.6389405785245,13.124207263892592,0.0944187572941913,23.38489286143518,204.18209403960162,4378.456850325614,1267.1393664019827,1786.5621601050987,886.5166410501599,900.0455190549388,1786.5621601050987,132.88922691178493,1786.5621601050987,578.4108847617201,555.9183986651994,217.97975172150794,201.2583398574967,41.868905050570476,56.49342406204526,87.22233286370944,45.16702608176321,60.7779473884119,35.63139407348882,32.94530528807704,17.046210096157388,88.06963567175049,179.79613805448628,148.7585125650777,137.6160920371318,117.1607433383196,237.9666404087593,298.7835132678532,97365,40.4,11.5,7.9,28.9,50.4,7.4,32.4,39.2,5.8,4.6
