school,centers_0.25mi,family_0.25mi,all_0.25mi,centers_0.5mi,family_0.5mi,all_0.5mi,centers_1.0mi,family_1.0mi,all_1.0mi,centers_2.0mi,family_2.0mi,all_2.0mi
Carrboro Elementary,3,0,3,7,0,7,12,0,12,21,1,22
Ephesus Elementary,0,0,0,2,1,3,2,1,3,6,3,9
Estes Hills Elementary,0,1,1,0,1,1,3,2,5,9,6,15
Frank Porter Graham Bilingue,1,0,1,1,0,1,4,1,5,19,4,23
Glenwood Elementary,7,0,7,9,0,9,13,0,13,25,2,27
McDougle Elementary,0,0,0,0,0,0,1,0,1,20,2,22
Morris Grove Elementary,0,0,0,0,0,0,0,0,0,2,0,2
Northside Elementary,0,0,0,0,0,0,11,1,12,24,3,27
Rashkis Elementary,1,0,1,1,0,1,2,1,3,7,1,8
Scroggs Elementary,0,0,0,0,0,0,0,0,0,2,0,2
Seawell Elementary,0,0,0,0,0,0,9,1,10,21,1,22
