school,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,change_pct
Carrboro,536,589,569,601,632,636,659,528,517,524,479,509,502,524,555,586,575,532,570,491,506,532,582,575,461,498,500,501,501,501,501,502,529,501,515,-3.9
Ephesus,453,455,451,575,616,636,734,644,672,673,559,575,552,545,452,427,438,439,474,430,430,437,470,482,433,428,438,396,396,455,455,374,370,381,410,-9.5
Estes Hills,527,488,537,511,576,582,548,572,551,531,548,533,549,533,532,472,498,513,547,516,516,490,535,566,501,479,480,489,489,481,481,400,356,340,336,-36.2
FPG,446,467,543,584,634,677,721,556,553,559,533,572,587,571,562,561,583,562,568,512,498,463,486,513,484,495,533,578,578,625,625,580,530,528,536,20.2
Glenwood,485,489,419,425,438,454,447,392,358,433,401,365,362,423,392,427,461,450,468,430,428,460,505,508,522,475,449,483,483,489,489,439,421,433,390,-19.6
McDougle,,,,,,,,,,672,602,680,669,649,595,594,544,580,665,600,563,545,549,525,497,477,503,511,511,555,555,517,474,489,497,-26.0
Morris Grove,,,,,,,,,,,,,,,,,,,,529,598,642,567,550,551,550,551,545,545,559,559,487,460,421,383,-27.6
Northside,,,,,,,,,,,,,,,,,,,,,,,,,495,518,481,484,484,448,448,422,391,395,412,-16.8
Rashkis,,,,,,,,,,,,,,,,448,533,635,635,555,545,555,517,499,514,525,516,502,502,465,465,451,416,427,455,1.6
Scroggs,,,,,,,,,,,,,,589,638,633,667,704,679,606,568,603,614,604,550,547,510,508,508,485,485,422,404,392,410,-30.4
Seawell,539,565,599,597,623,685,697,515,530,558,580,638,668,700,510,526,545,558,587,590,564,550,638,703,537,530,523,549,549,512,512,481,518,491,416,-22.8
